source_train_index,query_raw_skill,target_skill,selected_skill,skill_similarity,retrieved_instance_id,context_similarity,passed
120,fetch_object,fetch_object,fetch_object,1.0000001192092896,1874:0,0.9999998807907104,True
134,fetch_object,fetch_object,fetch_object,1.0,45:0,1.000000238418579,True
162,fetch_object,fetch_object,fetch_object,1.0,1040:0,1.0,True
181,fetch_object,fetch_object,fetch_object,1.0,1066:0,1.0000001192092896,True
193,fetch_object,fetch_object,fetch_object,1.0,1324:0,1.000000238418579,True
214,fetch_object,fetch_object,fetch_object,1.0,34:0,1.000000238418579,True
287,fetch_object,fetch_object,fetch_object,1.0,808:0,1.0,True
340,fetch_object,fetch_object,fetch_object,1.0,765:0,0.9999998807907104,True
396,fetch_object,fetch_object,fetch_object,1.0,1870:0,1.0000001192092896,True
439,fetch_object,fetch_object,fetch_object,1.0,431:0,1.0000001192092896,True
481,fetch_object,fetch_object,fetch_object,1.0,288:0,1.0,True
508,fetch_object,fetch_object,fetch_object,1.0000001192092896,847:0,1.0,True
586,fetch_object,fetch_object,fetch_object,1.0000001192092896,3602:0,1.0000001192092896,True
594,fetch_object,fetch_object,fetch_object,1.0000001192092896,70:0,1.000000238418579,True
616,move_to_location,move_to_location,move_to_location,1.0000001192092896,267:0,1.0000001192092896,True
672,fetch_object,fetch_object,fetch_object,1.0000001192092896,4560:0,1.0,True
748,fetch_object,fetch_object,fetch_object,1.0000001192092896,478:0,0.9890655279159546,True
781,fetch_object,fetch_object,fetch_object,1.0000001192092896,6280:0,1.0,True
793,fetch_object,fetch_object,fetch_object,1.0000001192092896,6760:0,0.9999301433563232,True
832,fetch_object,fetch_object,fetch_object,1.0000001192092896,322:0,0.9999999403953552,True
905,open_cabinet,open_cabinet,open_cabinet,1.0,4016:0,1.0,True
907,fetch_object,fetch_object,fetch_object,1.0000001192092896,548:0,1.0,True
995,fetch_object,fetch_object,fetch_object,1.0000001192092896,420:0,1.0000001192092896,True
1029,fetch_object,fetch_object,fetch_object,1.0,726:0,1.0,True
1088,fetch_object,fetch_object,fetch_object,1.0,1068:0,1.0,True
1173,survey_table,survey_table,survey_table,1.0,2647:0,1.0,True
1176,fetch_object,fetch_object,fetch_object,1.0,1248:0,1.0000001192092896,True
1355,fetch_object,fetch_object,fetch_object,1.0,1673:0,0.9833797216415405,True
1538,fetch_object,fetch_object,fetch_object,1.0,1078:0,1.000000238418579,True
1568,fetch_object,fetch_object,fetch_object,1.0,3512:0,1.0,True
1756,fetch_object,fetch_object,fetch_object,1.0,5475:0,0.9868241548538208,True
1883,fetch_object,fetch_object,fetch_object,1.0,52:0,0.9999999403953552,True
1949,check_fruit_location,check_fruit_location,check_fruit_location,1.0000001192092896,2864:0,1.0000001192092896,True
1976,inspect_table,inspect_table,inspect_table,1.000000238418579,4409:0,1.000000238418579,True
2007,fetch_object,fetch_object,fetch_object,1.0,601:0,1.000000238418579,True
2195,fetch_object,fetch_object,fetch_object,1.0,48:0,0.9860858917236328,True
2263,fetch_object,fetch_object,fetch_object,1.0,38:0,1.0000001192092896,True
2383,fetch_object,fetch_object,fetch_object,1.0,133:0,1.0000001192092896,True
2449,fetch_object,fetch_object,fetch_object,1.0,4341:0,0.9763560891151428,True
2527,fetch_object,fetch_object,fetch_object,1.0,6892:0,0.9821956157684326,True
2641,fetch_object,fetch_object,fetch_object,1.0,1660:0,1.0,True
2743,fetch_object,fetch_object,fetch_object,1.0,5069:0,0.9999342560768127,True
2753,fetch_object,fetch_object,fetch_object,1.0,652:0,0.9999998807907104,True
2809,fetch_object,fetch_object,fetch_object,1.0,1420:0,1.0000001192092896,True
2977,fetch_object,fetch_object,fetch_object,1.0,1420:0,1.0000001192092896,True
3028,fetch_object,fetch_object,fetch_object,1.0,650:0,1.0000001192092896,True
3106,check_table,check_table,check_table,1.0000001192092896,917:0,1.0,True
3171,fetch_object,fetch_object,fetch_object,1.0,247:0,1.0,True
3233,fetch_object,fetch_object,fetch_object,1.0,6357:0,1.0,True
3283,open_cabinet,open_cabinet,open_cabinet,1.0,2419:0,1.0,True
3380,open_cabinet,open_cabinet,open_cabinet,1.0,705:0,1.0,True
3494,fetch_object,fetch_object,fetch_object,1.0000001192092896,3036:0,0.9999998807907104,True
3499,fetch_object,fetch_object,fetch_object,1.0000001192092896,461:0,1.0,True
3559,fetch_object,fetch_object,fetch_object,1.0000001192092896,2959:0,1.0,True
3758,fetch_object,fetch_object,fetch_object,1.0000001192092896,52:0,0.9999999403953552,True
3771,fetch_object,fetch_object,fetch_object,1.0000001192092896,26:0,1.000000238418579,True
3797,fetch_object,fetch_object,fetch_object,1.0000001192092896,26:0,1.000000238418579,True
3847,fetch_object,fetch_object,fetch_object,1.0000001192092896,81:0,1.0000001192092896,True
4046,fetch_object,fetch_object,fetch_object,1.0000001192092896,3946:0,1.0,True
4076,fetch_object,fetch_object,fetch_object,1.0000001192092896,4846:0,0.9997280836105347,True
4094,fetch_object,fetch_object,fetch_object,1.0000001192092896,957:0,1.0000001192092896,True
4333,fetch_object,fetch_object,fetch_object,1.0000001192092896,1692:0,1.000000238418579,True
4411,fetch_object,fetch_object,fetch_object,1.0000001192092896,1935:0,1.0,True
4454,fetch_object,fetch_object,fetch_object,1.0000001192092896,4792:0,1.0,True
4466,fetch_object,fetch_object,fetch_object,1.0000001192092896,1995:0,1.0,True
4526,fetch_object,fetch_object,fetch_object,1.0000001192092896,1428:0,1.0,True
4544,fetch_object,fetch_object,fetch_object,1.0000001192092896,317:0,1.0,True
4598,fetch_object,fetch_object,fetch_object,1.0000001192092896,885:0,1.0,True
4711,fetch_object,fetch_object,fetch_object,1.0000001192092896,190:0,0.9999998807907104,True
4924,fetch_object,fetch_object,fetch_object,1.0000001192092896,5000:0,0.9999998807907104,True
5052,fetch_object,fetch_object,fetch_object,1.0000001192092896,3512:0,1.0,True
5147,fetch_object,fetch_object,fetch_object,1.0000001192092896,1111:0,1.0,True
5200,fetch_object,fetch_object,fetch_object,1.0000001192092896,1292:0,1.000000238418579,True
5224,fetch_object,fetch_object,fetch_object,1.0000001192092896,4184:0,0.9859996438026428,True
5308,fetch_object,fetch_object,fetch_object,1.0000001192092896,500:0,0.9795195460319519,True
5334,fetch_object,fetch_object,fetch_object,1.0000001192092896,1386:0,1.0,True
5366,fetch_object,fetch_object,fetch_object,1.0000001192092896,4440:0,1.0,True
5381,fetch_object,fetch_object,fetch_object,1.0000001192092896,3048:0,1.0000001192092896,True
5399,fetch_object,fetch_object,fetch_object,1.0000001192092896,6160:0,1.0000001192092896,True
5408,fetch_object,fetch_object,fetch_object,1.0000001192092896,2405:0,1.0000001192092896,True
5629,fetch_object,fetch_object,fetch_object,1.0000001192092896,1143:0,1.0,True
5656,fetch_object,fetch_object,fetch_object,1.0000001192092896,886:0,1.0000001192092896,True
5709,fetch_object,fetch_object,fetch_object,1.0000001192092896,1326:0,1.0,True
5747,examine_table,inspect_table,inspect_table,0.9090989232063293,1107:0,1.0,True
6009,fetch_object,fetch_object,fetch_object,1.0000001192092896,1353:0,0.9863743782043457,True
6060,fetch_object,fetch_object,fetch_object,1.0000001192092896,760:0,1.0000001192092896,True
6104,fetch_object,fetch_object,fetch_object,1.0000001192092896,986:0,1.0,True
6107,fetch_object,fetch_object,fetch_object,1.0000001192092896,701:0,1.0000001192092896,True
6126,fetch_object,fetch_object,fetch_object,1.0000001192092896,5402:0,1.0,True
6136,fetch_object,fetch_object,fetch_object,1.0000001192092896,712:0,1.0000001192092896,True
6447,fetch_object,fetch_object,fetch_object,1.0000001192092896,448:0,0.9999998807907104,True
6480,fetch_object,fetch_object,fetch_object,1.0000001192092896,625:0,1.000000238418579,True
6806,fetch_object,fetch_object,fetch_object,1.0000001192092896,1191:0,1.0,True
6864,fetch_object,fetch_object,fetch_object,1.0000001192092896,4674:0,0.9859859347343445,True
6951,fetch_object,fetch_object,fetch_object,1.0000001192092896,105:0,1.0,True
7035,fetch_object,fetch_object,fetch_object,1.0000001192092896,507:0,1.0,True
7044,fetch_object,fetch_object,fetch_object,1.0000001192092896,321:0,1.0,True
7073,fetch_object,fetch_object,fetch_object,1.0000001192092896,1748:0,1.0000001192092896,True
7166,fetch_object,fetch_object,fetch_object,1.0000001192092896,284:0,1.0,True
7175,fetch_object,fetch_object,fetch_object,1.0,6139:0,1.0000001192092896,True
